name	chars	lines
RotatingMachine.p-limits	643	12
RotatingMachine.q-limits	755	13
TapChanger.step-value	673	13
ShuntCompensator.sections-value	682	13
RegulatingControl.targetValue-value	266	8
ExternalNetworkInjection.p-limits	307	8
ExternalNetworkInjection.q-limits	307	8
EquivalentInjection.p-limits	576	11
EquivalentInjection.q-limits	576	11
SynchronousMachine.operatingMode-matchType	955	10
RotatingMachine-pAndQcapabilityCurveP	736	20
RotatingMachine-pAndQcapabilityCurveQ	792	21
GeneratingUnit-singleActivePowerSlack	628	17
Switch-sameTopologicalNode	857	17
TurbineGovernorDynamics-mbaseEquation	1973	36
ExcitationSystemDynamics.SynchronousMachineDynamicsSynchronousMachineSimplified-valueType	165	7
SynchronousMachineTimeConstantReactance-modelType-SubtransientRoundRotorSimplified	599	10
SynchronousMachineTimeConstantReactance-modelType-SubtransientRoundRotor	889	13
SynchronousMachineTimeConstantReactance-modelType-SubtransientSalientPole	487	9
All-GENC1	202	9
All-GENC4	423	9
All-GENC5	412	10
Model.created-HGEN4	125	6
Model.scenarioTime-HGEN4	125	6
Float-specialValues	348	8
SvVoltage-SV__4	379	10
SvSwitch-SV__4	739	12
SvStatus-SV__4	762	12
SvShuntCompensatorSections-SV__4	744	11
SvShuntCompensatorSections.sections-SV__4	881	12
SvTapStep-SV__4	1361	12
SvTapStep.position-SV__4	1006	12
RegulatingControl-samePoint	631	19
RegulatingControl-point	2333	17
TapChanger.neutralU-valueRangePair	387	8
Substation-count	491	20
ReactiveCapabilityCurve-units	471	10
SeriesCompensator.varistorRatedCurrent-required	218	7
SeriesCompensator.varistorVoltageThreshold-required	218	7
EquivalentInjection.regulationCapability-notHVDC	463	9
BoundaryPoint-bppl1Bppl2	840	17
BoundaryPoint-bppl3	2842	63
ACLineSegment-BaseVoltageDiff	685	14
Terminal-EXCH8TopologicalNode	647	13
AssessedElement-associations	606	10
OperationalLimit.AssessedElement-required	213	7
AvailabilityEnabled-associations	364	11
PeerTemporalDependency.finishToFinishLagKind-required	314	9
PeerTemporalDependency.finishToStartLagKind-required	312	9
PeerTemporalDependency.overlapKind-required	288	9
PeerTemporalDependency.startToStartLagKind-required	310	9
PeerTemporalDependency.constraintKind-exclusive	611	12
spatial-NC-cardinality	1014	13
accrualPeriodicity-NC-cardinality	433	13
usedSettings-NC-cardinality	334	13
accessRights-NC-cardinality	1015	13
conformsTo-NC-cardinality	253	9
requires-NC-cardinality	1016	13
issued-NC-cardinality	1015	13
keyword-NC-cardinality	1015	13
versionNotes.langTag-presence	119	7
description.langTag-presence	119	7
alternativeVersionAndPreferredVersion-dependency	351	8
forwardReverse-dependency	283	8
reverseDifferencePreviousVersion-dependency	264	8
AreaReserveResource-associations	490	10
AreaReserveResource-interconnection	263	9
EnergyComponent-associations	472	10
HydroPowerPlant-operatingMode	819	8
Circuit-associations	240	8
InfeedLimit-requiredAttributes	260	8
CrossZonalNetworkElement.BiddingZoneBorder-usage	628	25
BoundaryPoint-requiredAssociation	545	18
BoundaryPoint-naming	513	18
CommonResponsibilityPoint-requiredAssociation	572	18
BoundaryPointBorderLink-usage	492	17
BoundaryPointBorder-naming	477	18
BoundaryPointBorder-requiredAssociation	459	14
PeerTemporalDependency.finishToFinishLagKind-required	314	9
PeerTemporalDependency.finishToStartLagKind-required	312	9
PeerTemporalDependency.overlapKind-required	288	9
PeerTemporalDependency.startToStartLagKind-required	310	9
PeerTemporalDependency.constraintKind-exclusive	611	12
RemedialActionImpact-associations	363	8
RemedialActionOutcomeValue-associations	375	8
ClassCount-property	199	7
DCTieCorridor-powerSchedule	1083	40
PowerSchedule-currency-property	309	12
GridStateAlteration-associations	406	11
RemedialActionSchedule-proposingEntity	304	7
RemedialActionScheduleGroup-dependency	454	7
RemedialActionScheduleDependency.kind-cardinality	238	7
RemedialActionScheduleDependency.kind-applicability	299	8
RemedialActionScheduleDependency-associations	559	10
RemedialActionScheduleResponse.rejectionReasonKind-required	339	8
RemedialActionScheduleResponse.rejectionReason-applicability	333	8
PowerSchedule-currencyConsistency	790	24
PowerSchedule-currency-property	309	12
PowerScheduleAction-currency-property	287	12
PowerFlowResult.value	383	9
PowerFlowResult-ApparentPowerLimit	314	7
PowerFlowResult-ActivePowerLimit	307	7
PowerFlowResult-ReactivePowerLimit	314	7
PowerFlowResult-VoltageLimit	296	7
PowerFlowResult-VoltageAngleLimit	238	7
PowerFlowResult-CurrentLimit	296	7
PowerFlowResult-voltageAndAngle	505	11
PowerFlowResult-association	439	7
PowerFlowResult-topologicalNode	594	11
RemedialActionApplied.StageForRemedialActionScheme-cardinality	358	8
PowerShiftKeySchedule.ParticipationFactorTimePoint-dependency	310	7
PowerShiftKeySchedule-associations	6045	33
PowerShiftKeyDistribution-associations	385	11
PowerBidSchedule-associations	361	11
PowerBidScheduleTimePoint-attributes	918	16
PeerTemporalDependency.finishToFinishLagKind-required	314	9
PeerTemporalDependency.finishToStartLagKind-required	312	9
PeerTemporalDependency.overlapKind-required	288	9
PeerTemporalDependency.startToStartLagKind-required	310	9
PeerTemporalDependency.constraintKind-exclusive	611	12
PowerTransformer-twoWinding	273	7
DanglingReferences	500	19
PROF10-DY	245	7
FullModel-EQ	250	7
FullModel-DL	250	7
PROF10-SC	249	7
PROF10-OP	246	7
FullModel-GL	257	7
PROF10-SV	251	7
PROF10-TP	245	7
PROF10-SSH	258	7
DiffModel-DY	251	7
DiffModel-EQ	256	7
DiffModel-SC	255	7
DiffModel-OP	252	7
DiffModel-GL	263	7
RegulatingControl	276	7
BoundaryPoint	243	8
BoundaryPoint	243	8
DanglingReferences	500	19
